otel,konum,secenek,fiyat
casa di bava istanbul,taksim,sadece oda,3268 
park hyatt i̇stanbul,nişantaşı,sadece oda,10845 
merlin hotel istanbul,bakırköy,sadece oda,2215 
nish palace exclusive suites,ümraniye,sadece oda,2051 
dedem boutique hotel,sultanahmet,sadece oda,2229 
nuba i̇stanbul,beykoz,oda kahvaltı,5451 
burckin suites hotel,sultanahmet,oda kahvaltı,1866 
ferman hilal hotel,taksim,oda kahvaltı,1938 
mom hotel,adalar,sadece oda,3165 
the central palace hotel - bosphorus,tarabya,sadece oda,4747 
la vita suites,kadıköy,oda kahvaltı,2425 
yotelair istanbul airport airside,arnavutköy,sadece oda,11679 
pera parma hotel,taksim,oda kahvaltı,2596 
obelisk hotel & suites,sultanahmet,oda kahvaltı,5220 
esans hotel,sultanahmet,oda kahvaltı,1169 
nuru ziya suites,taksim,oda kahvaltı,2106 
mula hotel - special class,fatih,sadece oda,5055 
maslak aparts,sarıyer,sadece oda,4769 
morione hotel,karaköy,sadece oda,3762 
maslak aparts,sarıyer,sadece oda,4737 
halifaks hotel,bomonti,açık büfe kahvaltı,2269 
endless boutique hotel,beyoğlu,oda kahvaltı,2057 
stayso the house hotel,beyoğlu,sadece oda,3588 
farina hotel by cigno,fatih,oda kahvaltı,1525 
operla hotels i̇stanbul airport,arnavutköy,sadece oda,2250 
blue house hotel,sultanahmet,oda kahvaltı,3481 
frame galata hotel,beyoğlu,sadece oda,579 
atacity hotel,ataşehir,sadece oda,1200 
ferman konak hotel,sultanahmet,sadece oda,2907 
armoni motel ağva,ağva,oda kahvaltı,1363 
opale hotel,beyoğlu,sadece oda,2421 
moda drei concept hostel,kadıköy,sadece oda,380 
troya hotel,asmalımescit,oda kahvaltı,2570 
chatto hotel,tuzla,oda kahvaltı,2500 
agva marina hotel,i̇stanbul anadolu yakası,sadece oda,760 
global suites hotel,harbiye,oda kahvaltı,1354 
agva stone house,şile,oda kahvaltı,1400 
anatolia inn,kartal,oda kahvaltı,1600 
royal i̇nci airport hotel,küçükçekmece,sadece oda,724 
sultan tughra hotel,sultanahmet,oda kahvaltı,1764 
exclusive art hotel,beyoğlu,sadece oda,1225 
the loft istanbul,beyoğlu,sadece oda,1671 
ağva kilimli bungalov otel,şile,oda kahvaltı,1800 
a11 hotel bosphorus,üsküdar,sadece oda,5696 
defne hotel,şile,oda kahvaltı,1600 
glorious hotel i̇stanbul,fatih,oda kahvaltı,1698 
benler hotel,fatih,her sabah kahve/hamur işi ürünler,1880 
seven hills hotel,sultanahmet,oda kahvaltı,3988 
seminal hotel,taksim,oda kahvaltı,2144 
victory hotel & spa,fatih,oda kahvaltı,1686 
bram hotel istanbul,fatih,oda kahvaltı,3133 
beethoven premium hotel,fatih,oda kahvaltı,3417 
carlton hotel i̇stanbul,sultanahmet-sirkeci,oda kahvaltı,1585 
ephesus hotel istanbul,i̇stanbul aksaray,oda kahvaltı,3026 
albinas hotel old city,sultanahmet,oda kahvaltı,2051 
the camelot hotel,cankurtaran,sadece oda,1111 
the galata hotel istanbul mgallery collection,karaköy,oda kahvaltı,4226 
walton hotels galata,galata,sadece oda,2196 
fontana verde,pendik,sadece oda,1606 
seres hotel,sirkeci,oda kahvaltı,1766 
demir palace,pendik,sadece oda,1048 
primero hotel,fatih,oda kahvaltı,1219 
actuel life hotel,şişli,oda kahvaltı,3438 
taxim starlight hotel,beyoğlu,sadece oda,4323 
lavandula hotel levent,kağıthane,oda kahvaltı,2690 
sofitel istanbul taksim,beyoglu,sadece oda,7205 
new beylerbeyi hotel,üsküdar,oda kahvaltı,1159 
p galata boutique hotel,karaköy,sadece oda,2227 
park beylerbeyi boutique hotel,üsküdar,sadece oda,1300 
best hotel kadikoy,kadıköy,sadece oda,1877 
lukka suit hotel,bakırköy,sadece oda,900 
lion,taksim,oda kahvaltı,3600 
nanda hotel,laleli,açık büfe kahvaltı,1765 
romance istanbul hotel,fatih,oda kahvaltı,3790 
modern sultan hotel,sultanahmet,oda kahvaltı,1119 
hippodrome special,sultanahmet,oda kahvaltı,4232 
nena,sultanahmet,oda kahvaltı,4367 
balin hotel,sultanahmet,oda kahvaltı,1843 
stayso by cloud 7,şişli,sadece oda,2255 
hypnos design hotel,sultanahmet,oda kahvaltı,1870 
mari time hotel,sultanahmet,sadece oda,1984 
astan hotel taksim,taksim,sadece oda,1740 
istanbul apex hotel,sultanahmet,oda kahvaltı,1146 
naz city hotel taksim,taksim,açık büfe kahvaltı,5799 
great fortune hotel & spa,sultanahmet,oda kahvaltı,2304 
tilia hotel,sultanahmet,oda kahvaltı,1387 
galata grace hotel,galata,sadece oda,1000 
ada homes hotel taksim,beyoğlu,oda kahvaltı,791 
the queen hotel,fatih,oda kahvaltı,1250 
moja city hotel,kadıköy,oda kahvaltı,3040 
galatahan hotel,beyoglu,oda kahvaltı,1110 
